id_row,time_stamp,department_,category_,machine_name,part_name,plan_,id_operator,output_,cycle_time,count_,run_,idle_,alarm_,offline_,alarm_code
51,"2025-08-16 16:13:50.48",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
52,"2025-08-16 16:13:51.38",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
53,"2025-08-16 16:13:58.26",Lathe,Machine,"Rotor TK1",089-138,0,id,0,26.88,7,0,0,0,0,0
54,"2025-08-16 16:14:31.91",Lathe,Machine,"Rotor TK4",2021404,0,id,1,0.00,0,0,0,0,0,0
55,"2025-08-16 16:14:33.08",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
56,"2025-08-16 16:14:39.36",Lathe,Machine,"Rotor TK4",2021404,0,id,0,7.45,8,0,0,0,0,0
57,"2025-08-16 16:15:14.49",Lathe,Machine,"Rotor TK1",089-138,0,id,1,0.00,0,0,0,0,0,0
58,"2025-08-16 16:15:33.85",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
59,"2025-08-16 16:15:34.74",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
60,"2025-08-16 16:15:40.66",Lathe,Machine,"Rotor TK4",2021404,0,id,1,0.00,0,0,0,0,0,0
61,"2025-08-16 16:15:41.65",Lathe,Machine,"Rotor TK1",089-138,0,id,0,27.16,8,0,0,0,0,0
62,"2025-08-16 16:16:15.45",Lathe,Machine,"Rotor TK4",2021404,0,id,1,0.00,0,0,0,0,0,0
63,"2025-08-16 16:16:16.43",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
64,"2025-08-16 16:16:22.43",Lathe,Machine,"Rotor TK4",2021404,0,id,0,6.98,10,0,0,0,0,0
65,"2025-08-16 16:16:57.77",Lathe,Machine,"Rotor TK1",089-138,0,id,1,0.00,0,0,0,0,0,0
66,"2025-08-16 16:17:17.16",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
67,"2025-08-16 16:17:18.11",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
68,"2025-08-16 16:17:23.90",Lathe,Machine,"Rotor TK4",2021404,0,id,1,0.00,0,0,0,0,0,0
69,"2025-08-16 16:17:25.13",Lathe,Machine,"Rotor TK1",089-138,0,id,0,27.36,9,0,0,0,0,0
70,"2025-08-16 16:17:58.57",Lathe,Machine,"Rotor TK4",2021404,0,id,1,0.00,0,0,0,0,0,0
71,"2025-08-16 16:17:59.74",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
72,"2025-08-16 16:18:05.98",Lathe,Machine,"Rotor TK4",2021404,0,id,0,7.41,12,0,0,0,0,0
73,"2025-08-16 16:18:40.97",Lathe,Machine,"Rotor TK1",089-138,0,id,1,0.00,0,0,0,0,0,0
74,"2025-08-16 16:26:41.96",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
75,"2025-08-16 16:26:41.96",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
76,"2025-08-16 16:26:41.96",Lathe,Machine,"Rotor TK4",2021404,0,id,0,523.39,12,0,0,0,0,0
77,"2025-08-16 16:27:17.20",Lathe,Machine,"Rotor TK1",089-138,0,id,1,0.00,0,0,0,0,0,0
78,"2025-08-16 16:27:36.13",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
79,"2025-08-16 16:27:37.09",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
80,"2025-08-16 16:27:42.95",Lathe,Machine,"Rotor TK4",2021404,0,id,1,0.00,0,0,0,0,0,0
81,"2025-08-16 16:27:43.92",Lathe,Machine,"Rotor TK1",089-138,0,id,0,26.72,11,0,0,0,0,0
82,"2025-08-16 16:28:17.61",Lathe,Machine,"Rotor TK4",2021404,0,id,1,0.00,0,0,0,0,0,0
83,"2025-08-16 16:28:18.57",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
84,"2025-08-16 16:28:24.72",Lathe,Machine,"Rotor TK4",2021404,0,id,0,7.11,14,0,0,0,0,0
85,"2025-08-16 16:29:14.98",Lathe,Machine,"Rotor TK1",089-138,0,id,1,0.00,0,0,0,0,0,0
86,"2025-08-16 16:29:14.98",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
